"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MH2,MH1";"MountingHole_2.2mm_M2_Pad_Via";2;"MH";;;
2;"G***";"igclogo";1;"LOGO";;;
3;"F3,F2,F1";"Fiducial_1mm_Mask2mm";3;"Fid";;;
4;"C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"106";;;
5;"C2,C3,C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"104";;;
6;"C5,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"220pF";;;
7;"C8,C12,C13,C7,C14,C15,C16,C17";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"10pF";;;
8;"C9,C10";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100pF";;;
9;"C11";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1 nF";;;
10;"L1,L2";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"560nH";;;
11;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10k";;;
12;"R2,R8";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1k";;;
13;"R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"5k1";;;
14;"U1";"NXP-SOT617-1-0-0-0";1;".";;;
15;"Y1";"XTAL_ABM8-27.120MHZ-B4-T";1;"ABM8";;;
16;"J1";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08";;;
17;"C18,C19";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"33pF";;;
18;"L3,L4";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"50nH";;;
19;"R4,R5,R6,R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"1E6";;;
20;"D1";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
